Workload: 630 seconds, 9917 total requests, peak 44 RPS
No local images at /images; fetching from GitHub...
  fetched n02123045_tabby.JPEG (86704 bytes)
  fetched n01440764_tench.JPEG (100582 bytes)
  fetched n01514859_hen.JPEG (96736 bytes)
  fetched n02085620_Chihuahua.JPEG (146425 bytes)
  fetched n02123159_tiger_cat.JPEG (74104 bytes)
  fetched n02124075_Egyptian_cat.JPEG (58654 bytes)
  fetched n02085936_Maltese_dog.JPEG (23644 bytes)
  fetched n02086079_Pekinese.JPEG (199674 bytes)
  fetched n02086240_Shih-Tzu.JPEG (316851 bytes)
  fetched n02086646_Blenheim_spaniel.JPEG (43163 bytes)
Endpoint: http://dispatcher-service:8000/predict
Results dir: /results
Spawned all the processes. Waiting to finish...
total seconds: 630
Sent 9917 requests; 6451 reported success by barazmoon
Wrote 9910 rows to /results/results.csv
=== RESULTS_CSV_BEGIN hpa70 ===
request_id,t_start,t_end,latency_ms,status,server_latency_s
9366ceea-8062-4b8f-b51c-5cbc2bea65ed,1782296233.492005,1782296233.573996,81.99,200,0.06808063900007255
0b5ca614-f2dd-45f0-b02d-6afc192b1809,1782296233.920810,1782296233.993587,72.78,200,0.06591875100002653
2589185b-1933-4240-bb54-169b3a00f5bd,1782296234.109090,1782296234.173701,64.61,200,0.05838979300006031
e4032de0-952f-41d5-96ad-153460b22474,1782296234.239242,1782296234.305732,66.49,200,0.06118206100018142
1885e55a-e0b8-4a18-86ce-aa86147f3ff6,1782296234.263257,1782296234.335528,72.27,200,0.06476753199967789
c7a8bd6f-23be-4bf8-9ec4-193ed8ddc8e3,1782296234.287439,1782296234.402333,114.89,200,0.06603235900001891
59f49722-0646-4ea5-a6b5-4dbf4733b37e,1782296234.296348,1782296234.375623,79.27,200,0.06825045799996587
548ff922-49fa-408a-af96-8d5267e1194d,1782296234.496103,1782296234.574967,78.86,200,0.06618536499991023
adfa419b-1d92-4ded-be2a-d2302b180375,1782296234.925985,1782296234.992563,66.58,200,0.06064956499994878
5dc1f3cb-659a-43d3-a42e-e9cd6069700f,1782296235.113152,1782296235.181559,68.41,200,0.061400114000207395
cdf80232-dd1d-4366-acce-cfa58fb265b3,1782296235.244047,1782296235.326530,82.48,200,0.07630163499925402
b9543ac5-1e2a-4d1a-8403-6bfcc8a3af9a,1782296235.267551,1782296235.405743,138.19,200,0.07706782200057205
dc8eeee6-f7a1-4862-a76b-27fca35e00bd,1782296235.292087,1782296235.481538,189.45,200,0.07422831199983193
bda9cb30-6be8-41b7-89c5-c0921fad2609,1782296235.300063,1782296235.577099,277.04,200,0.09239800699924672
22a36987-f9cb-4810-897d-017c660dc900,1782296235.490072,1782296235.592690,102.62,200,0.08497112199984258
507f01a7-7694-403a-b65c-40da9e4e2996,1782296235.864608,1782296235.936775,72.17,200,0.06528697500016278
20ad220d-0fad-4db0-9ed3-51dc7d466029,1782296236.029372,1782296236.090586,61.21,200,0.055981920999329304
fac64220-dc30-4b3e-a122-ffdb05e47267,1782296236.144045,1782296236.211810,67.77,200,0.06262634099948627
78f91eea-85d5-471f-b9e0-954a81e6f357,1782296236.164002,1782296236.234150,70.15,200,0.06400590400062356
